"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"23,2";"23,3";"23,1";"97,0";"98,0";"97,0";"22,8";"22,9";"22,6";"1008,1";"1008,1";"1007,3";"0,0";"113,0";"1,1";"";"0,6"
"01/01/2022";"0100";"23,1";"23,3";"23,1";"98,0";"98,0";"97,0";"22,7";"22,9";"22,7";"1008,3";"1008,4";"1008,1";"0,0";"166,0";"1,6";"";"0,0"
"01/01/2022";"0200";"23,4";"23,4";"23,0";"98,0";"98,0";"98,0";"23,0";"23,0";"22,7";"1008,2";"1008,5";"1008,2";"0,0";"200,0";"2,3";"";"0,0"
"01/01/2022";"0300";"23,1";"23,4";"23,1";"98,0";"98,0";"98,0";"22,8";"23,0";"22,7";"1007,5";"1008,2";"1007,5";"0,0";"204,0";"2,7";"";"0,8"
"01/01/2022";"0400";"22,9";"23,2";"22,9";"98,0";"98,0";"98,0";"22,5";"22,8";"22,5";"1007,9";"1007,9";"1007,4";"0,0";"136,0";"1,3";"";"0,8"
"01/01/2022";"0500";"22,8";"23,1";"22,8";"96,0";"98,0";"95,0";"22,2";"22,6";"22,1";"1007,1";"1008,0";"1007,1";"0,5";"125,0";"2,2";"";"2,4"
"01/01/2022";"0600";"22,7";"22,8";"22,6";"98,0";"98,0";"96,0";"22,2";"22,4";"22,2";"1005,8";"1007,1";"1005,8";"0,1";"206,0";"1,9";"";"0,0"
"01/01/2022";"0700";"27,2";"27,2";"22,6";"57,0";"98,0";"57,0";"18,0";"22,3";"17,8";"1005,5";"1005,8";"1005,3";"4,7";"44,0";"9,4";"4,30";"0,0"
"01/01/2022";"0800";"27,5";"27,7";"26,9";"57,0";"59,0";"56,0";"18,3";"18,5";"18,1";"1005,9";"1006,0";"1005,5";"3,5";"17,0";"9,2";"";"0,0"
"01/01/2022";"0900";"26,2";"28,1";"26,2";"64,0";"64,0";"52,0";"18,7";"18,7";"17,2";"1006,2";"1006,5";"1005,8";"2,4";"5,0";"9,5";"19,30";"0,0"
"01/01/2022";"1000";"25,0";"28,3";"25,0";"76,0";"76,0";"51,0";"20,4";"20,5";"17,1";"1007,0";"1007,0";"1006,1";"0,7";"258,0";"6,8";"121,30";"0,0"
"01/01/2022";"1100";"24,2";"25,0";"23,5";"87,0";"87,0";"76,0";"21,9";"21,9";"20,2";"1008,5";"1008,5";"1007,0";"0,4";"25,0";"4,5";"234,90";"0,4"
"01/01/2022";"1200";"24,9";"25,1";"24,0";"84,0";"89,0";"84,0";"22,1";"22,7";"21,5";"1009,0";"1009,1";"1008,5";"0,2";"302,0";"2,6";"630,80";"0,6"
"01/01/2022";"1300";"25,4";"25,7";"24,9";"88,0";"89,0";"81,0";"23,3";"23,7";"21,9";"1009,4";"1009,4";"1009,0";"2,2";"293,0";"4,2";"1599,20";"0,0"
"01/01/2022";"1400";"25,7";"26,2";"25,2";"83,0";"89,0";"83,0";"22,7";"23,6";"22,7";"1009,4";"1009,5";"1009,3";"2,0";"300,0";"4,2";"1194,40";"0,0"
"01/01/2022";"1500";"26,8";"26,8";"25,7";"77,0";"87,0";"77,0";"22,4";"23,9";"22,4";"1009,0";"1009,5";"1009,0";"0,3";"246,0";"3,2";"1133,30";"0,0"
"01/01/2022";"1600";"27,6";"27,7";"26,8";"72,0";"77,0";"71,0";"22,0";"23,1";"21,6";"1008,3";"1009,0";"1008,3";"0,7";"223,0";"3,9";"1669,20";"0,0"
"01/01/2022";"1700";"27,7";"29,6";"27,3";"75,0";"78,0";"68,0";"22,8";"24,3";"22,2";"1007,7";"1008,3";"1007,6";"1,1";"260,0";"4,4";"2540,30";"0,0"
"01/01/2022";"1800";"29,0";"30,0";"27,3";"69,0";"78,0";"67,0";"22,8";"23,9";"22,0";"1007,8";"1007,8";"1007,5";"0,5";"233,0";"4,5";"2881,40";"0,0"
"01/01/2022";"1900";"26,7";"29,1";"26,7";"81,0";"81,0";"69,0";"23,1";"23,7";"22,1";"1007,9";"1007,9";"1007,7";"0,6";"176,0";"4,4";"654,60";"0,0"
"01/01/2022";"2000";"26,2";"26,7";"26,2";"78,0";"83,0";"76,0";"22,0";"23,5";"21,8";"1007,9";"1008,0";"1007,8";"2,2";"291,0";"3,2";"360,10";"0,0"
"01/01/2022";"2100";"24,3";"26,2";"24,3";"92,0";"93,0";"77,0";"23,0";"23,3";"21,7";"1008,8";"1008,8";"1007,9";"0,0";"212,0";"3,2";"112,90";"1,0"
"01/01/2022";"2200";"23,5";"24,3";"23,2";"95,0";"96,0";"90,0";"22,7";"23,0";"22,0";"1009,8";"1009,8";"1008,8";"0,2";"9,0";"1,6";"20,80";"7,8"
"01/01/2022";"2300";"23,5";"23,6";"23,2";"97,0";"97,0";"96,0";"22,9";"23,0";"22,6";"1010,0";"1010,0";"1009,8";"0,0";"310,0";"2,8";"";"4,4"
"02/01/2022";"0000";"23,6";"23,6";"23,4";"98,0";"98,0";"97,0";"23,2";"23,2";"22,9";"1010,4";"1010,4";"1010,0";"0,0";"81,0";"1,3";"";"0,0"
"02/01/2022";"0100";"23,5";"23,6";"23,4";"97,0";"98,0";"97,0";"23,0";"23,2";"23,0";"1010,6";"1010,7";"1010,3";"0,0";"109,0";"1,3";"";"0,0"
"02/01/2022";"0200";"23,3";"23,5";"23,3";"97,0";"97,0";"97,0";"22,9";"23,0";"22,8";"1010,1";"1010,6";"1010,1";"0,3";"82,0";"1,8";"";"0,0"
"02/01/2022";"0300";"23,3";"23,4";"23,2";"98,0";"98,0";"97,0";"22,9";"22,9";"22,8";"1008,9";"1010,1";"1008,9";"0,0";"144,0";"2,7";"";"0,0"
