"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"08/05/2022";"0000";"21,3";"22,9";"21,3";"80,0";"80,0";"74,0";"17,7";"18,1";"17,6";"1017,7";"1017,7";"1017,4";"1,6";"306,0";"5,7";"";"0,4"
"08/05/2022";"0100";"22,6";"22,7";"21,2";"75,0";"81,0";"75,0";"18,0";"18,6";"17,8";"1017,7";"1017,7";"1017,5";"1,8";"259,0";"4,5";"";"0,0"
"08/05/2022";"0200";"22,2";"22,9";"22,2";"78,0";"78,0";"74,0";"18,2";"18,4";"17,8";"1017,6";"1017,7";"1017,6";"2,9";"282,0";"6,4";"";"0,0"
"08/05/2022";"0300";"22,1";"22,1";"21,7";"77,0";"80,0";"77,0";"17,9";"18,2";"17,8";"1017,1";"1017,6";"1017,1";"1,6";"290,0";"6,4";"";"0,0"
"08/05/2022";"0400";"22,7";"22,8";"22,0";"74,0";"79,0";"74,0";"17,7";"18,5";"17,7";"1016,7";"1017,1";"1016,7";"2,6";"211,0";"4,8";"";"0,0"
"08/05/2022";"0500";"22,2";"22,7";"22,1";"78,0";"78,0";"73,0";"18,1";"18,2";"17,5";"1016,4";"1016,7";"1016,3";"1,1";"228,0";"4,3";"";"0,0"
"08/05/2022";"0600";"21,4";"22,2";"21,4";"83,0";"83,0";"78,0";"18,4";"18,5";"18,0";"1016,1";"1016,4";"1016,1";"1,9";"300,0";"4,0";"";"0,4"
"08/05/2022";"0700";"20,8";"21,4";"20,8";"88,0";"88,0";"83,0";"18,7";"18,9";"18,2";"1015,7";"1016,1";"1015,7";"2,7";"206,0";"5,9";"";"1,2"
"08/05/2022";"0800";"20,9";"21,0";"20,7";"90,0";"90,0";"88,0";"19,2";"19,2";"18,6";"1015,9";"1016,0";"1015,7";"1,3";"245,0";"6,1";"";"0,2"
"08/05/2022";"0900";"20,7";"21,0";"20,7";"91,0";"91,0";"90,0";"19,1";"19,3";"19,1";"1016,4";"1016,4";"1015,9";"1,2";"325,0";"3,6";"";"0,2"
"08/05/2022";"1000";"21,0";"21,1";"20,6";"90,0";"91,0";"90,0";"19,4";"19,6";"19,0";"1016,9";"1016,9";"1016,4";"1,2";"348,0";"3,4";"7,80";"0,0"
"08/05/2022";"1100";"20,5";"21,1";"20,2";"91,0";"91,0";"89,0";"19,0";"19,4";"18,6";"1017,6";"1017,6";"1016,9";"1,2";"348,0";"4,9";"152,60";"8,2"
"08/05/2022";"1200";"21,4";"21,7";"20,5";"88,0";"92,0";"88,0";"19,4";"20,1";"18,9";"1018,2";"1018,2";"1017,6";"1,0";"40,0";"2,1";"457,90";"0,8"
"08/05/2022";"1300";"24,8";"25,0";"21,4";"75,0";"89,0";"75,0";"20,1";"22,0";"19,3";"1018,3";"1018,4";"1018,2";"1,5";"95,0";"2,7";"1952,60";"0,2"
"08/05/2022";"1400";"22,6";"25,3";"22,4";"80,0";"80,0";"74,0";"18,9";"21,0";"18,6";"1017,9";"1018,3";"1017,9";"2,5";"179,0";"4,4";"1961,20";"0,0"
"08/05/2022";"1500";"23,6";"24,3";"22,4";"77,0";"82,0";"75,0";"19,2";"20,1";"18,8";"1017,0";"1017,9";"1017,0";"3,1";"106,0";"6,2";"1467,30";"0,0"
